Date,Symbols,Above_MA_30W,Symbols_MA_10W,Above_MA_10W,Pct_Above_MA_30W,Pct_Above_MA_10W,Benchmark_Close,Benchmark_Ticker
2025-11-12,700,372,719,338,53.142857142857146,47.009735744089014,23836.900390625,^CRSLDX
2025-11-13,700,362,719,327,51.714285714285715,45.479833101529906,23816.0,^CRSLDX
2025-11-14,700,358,719,318,51.142857142857146,44.22809457579972,23836.349609375,^CRSLDX
2025-11-17,700,369,719,337,52.714285714285715,46.87065368567455,23954.55078125,^CRSLDX
2025-11-18,700,353,719,310,50.42857142857143,43.11543810848401,23824.650390625,^CRSLDX
2025-11-19,700,348,719,308,49.714285714285715,42.83727399165508,23906.30078125,^CRSLDX
2025-11-20,700,346,719,298,49.42857142857143,41.44645340751043,23975.44921875,^CRSLDX
2025-11-21,700,310,719,251,44.285714285714285,34.909596662030594,23790.25,^CRSLDX
2025-11-24,700,298,719,239,42.57142857142857,33.24061196105703,23674.55078125,^CRSLDX
2025-11-25,700,304,719,240,43.42857142857143,33.379694019471486,23655.05078125,^CRSLDX
2025-11-26,700,331,720,279,47.285714285714285,38.75,23955.19921875,^CRSLDX
2025-11-27,700,324,720,286,46.285714285714285,39.72222222222222,23947.75,^CRSLDX
2025-11-28,700,314,720,282,44.857142857142854,39.166666666666664,23933.19921875,^CRSLDX
2025-12-01,700,311,720,283,44.42857142857143,39.30555555555556,23922.44921875,^CRSLDX
2025-12-02,701,304,720,269,43.36661911554921,37.361111111111114,23822.25,^CRSLDX
2025-12-03,701,294,720,239,41.940085592011414,33.19444444444444,23716.30078125,^CRSLDX
2025-12-04,701,292,720,242,41.65477888730385,33.611111111111114,23741.099609375,^CRSLDX
2025-12-05,701,281,721,243,40.08559201141227,33.70319001386963,23835.25,^CRSLDX
2025-12-08,701,238,722,177,33.951497860199716,24.51523545706371,23526.19921875,^CRSLDX
2025-12-09,701,259,723,203,36.947218259629096,28.077455048409405,23516.25,^CRSLDX
2025-12-10,701,240,723,182,34.236804564907274,25.172890733056708,23408.80078125,^CRSLDX
2025-12-11,701,255,723,209,36.37660485021398,28.90733056708161,23550.849609375,^CRSLDX
2025-12-12,701,270,723,230,38.516405135520685,31.8118948824343,23726.19921875,^CRSLDX
2025-12-15,701,275,724,238,39.229671897289585,32.87292817679558,23725.19921875,^CRSLDX
2025-12-16,701,251,724,219,35.805991440798856,30.248618784530386,23570.150390625,^CRSLDX
2025-12-17,701,237,724,189,33.80884450784593,26.10497237569061,23496.05078125,^CRSLDX
2025-12-18,701,238,724,182,33.951497860199716,25.13812154696133,23491.5,^CRSLDX
2025-12-19,701,257,725,228,36.66191155492154,31.448275862068964,23677.55078125,^CRSLDX
2025-12-22,701,268,726,268,38.23109843081313,36.91460055096419,23867.650390625,^CRSLDX
2025-12-23,701,282,727,285,40.22824536376605,39.20220082530949,23895.150390625,^CRSLDX
2025-12-24,702,278,727,267,39.6011396011396,36.72627235213205,23850.25,^CRSLDX
2025-12-26,702,275,730,266,39.173789173789174,36.43835616438356,23780.25,^CRSLDX
2025-12-29,704,268,730,247,38.06818181818182,33.83561643835616,23682.099609375,^CRSLDX
2025-12-30,704,259,730,244,36.78977272727273,33.42465753424658,23668.80078125,^CRSLDX
2025-12-31,704,278,730,287,39.48863636363637,39.31506849315068,23871.55078125,^CRSLDX
2026-01-01,704,280,730,292,39.77272727272727,40.0,,^CRSLDX
2026-01-02,704,305,730,345,43.32386363636363,47.26027397260274,24099.0,^CRSLDX
2026-01-05,704,304,730,353,43.18181818181818,48.35616438356165,24058.44921875,^CRSLDX
2026-01-06,704,299,730,334,42.471590909090914,45.75342465753425,24010.5,^CRSLDX
2026-01-07,704,302,730,353,42.89772727272727,48.35616438356165,24016.599609375,^CRSLDX
2026-01-08,704,255,730,263,36.221590909090914,36.02739726027397,23680.099609375,^CRSLDX
2026-01-09,704,229,730,209,32.528409090909086,28.63013698630137,23467.349609375,^CRSLDX
2026-01-12,704,230,730,197,32.67045454545455,26.986301369863014,23510.44921875,^CRSLDX
2026-01-13,704,228,730,212,32.38636363636363,29.041095890410958,23480.650390625,^CRSLDX
2026-01-14,704,231,730,231,32.8125,31.643835616438352,23475.849609375,^CRSLDX
2026-01-15,626,202,649,199,32.26837060702875,30.662557781201848,,^CRSLDX
2026-01-16,706,219,732,225,31.01983002832861,30.737704918032787,23485.30078125,^CRSLDX
2026-01-19,706,205,733,198,29.036827195467424,27.012278308321964,23373.75,^CRSLDX
2026-01-20,707,178,733,127,25.176803394625175,17.32605729877217,22946.650390625,^CRSLDX
2026-01-21,707,167,735,111,23.62093352192362,15.10204081632653,22835.150390625,^CRSLDX
2026-01-22,707,181,735,141,25.601131541725604,19.183673469387756,23008.75,^CRSLDX
2026-01-23,707,155,736,107,21.923620933521924,14.538043478260871,22706.19921875,^CRSLDX
2026-01-27,708,155,738,125,21.89265536723164,16.93766937669377,22819.25,^CRSLDX
2026-01-28,710,175,739,169,24.647887323943664,22.868741542625166,23082.099609375,^CRSLDX
2026-01-29,710,176,740,162,24.788732394366196,21.891891891891895,23134.80078125,^CRSLDX
2026-01-30,710,190,741,200,26.76056338028169,26.99055330634278,23079.5,^CRSLDX
2026-02-02,710,173,741,162,24.366197183098592,21.86234817813765,22837.0,^CRSLDX
2026-02-03,710,229,741,267,32.25352112676057,36.032388663967616,23446.30078125,^CRSLDX
2026-02-04,711,240,741,305,33.755274261603375,41.16059379217274,23534.94921875,^CRSLDX
2026-02-05,711,223,741,283,31.364275668073137,38.19163292847503,23411.69921875,^CRSLDX
2026-02-06,711,227,742,291,31.926863572433195,39.21832884097035,23434.0,^CRSLDX
2026-02-09,712,272,742,379,38.20224719101123,51.078167115902964,23683.400390625,^CRSLDX
2026-02-10,712,278,742,406,39.04494382022472,54.71698113207547,23753.75,^CRSLDX
2026-02-11,712,276,742,406,38.764044943820224,54.71698113207547,23783.05078125,^CRSLDX
2026-02-12,713,273,742,374,38.288920056100984,50.40431266846361,23651.55078125,^CRSLDX
2026-02-13,713,240,742,316,33.66058906030855,42.58760107816711,23313.150390625,^CRSLDX
2026-02-16,714,243,743,316,34.03361344537815,42.530282637954244,23472.44921875,^CRSLDX
2026-02-17,714,256,743,340,35.85434173669468,45.76043068640646,23540.05078125,^CRSLDX
2026-02-18,714,265,745,366,37.11484593837535,49.127516778523486,23645.80078125,^CRSLDX
2026-02-19,714,234,745,317,32.773109243697476,42.5503355704698,23297.44921875,^CRSLDX
2026-02-20,714,245,745,323,34.31372549019608,43.355704697986575,23395.0,^CRSLDX
2026-02-23,714,252,747,341,35.294117647058826,45.64926372155288,23484.94921875,^CRSLDX
2026-02-24,714,237,747,312,33.193277310924366,41.76706827309237,23304.599609375,^CRSLDX
2026-02-25,714,249,748,339,34.87394957983193,45.32085561497326,23403.80078125,^CRSLDX
2026-02-26,714,254,748,339,35.57422969187675,45.32085561497326,23448.5,^CRSLDX
2026-02-27,714,232,749,291,32.49299719887955,38.851802403204275,23166.849609375,^CRSLDX
2026-03-02,714,210,749,237,29.411764705882355,31.64218958611482,22835.94921875,^CRSLDX
2026-03-04,716,177,749,175,24.720670391061454,23.364485981308412,22409.80078125,^CRSLDX
2026-03-05,716,197,749,203,27.51396648044693,27.102803738317753,22697.80078125,^CRSLDX
2026-03-06,716,193,749,198,26.955307262569832,26.43524699599466,22481.30078125,^CRSLDX
2026-03-09,716,159,749,154,22.206703910614525,20.5607476635514,22056.55078125,^CRSLDX
2026-03-10,716,184,749,198,25.69832402234637,26.43524699599466,22342.94921875,^CRSLDX
2026-03-11,716,175,749,188,24.441340782122907,25.100133511348467,22042.30078125,^CRSLDX
2026-03-12,717,172,749,192,23.988842398884238,25.634178905206944,21897.5,^CRSLDX
2026-03-13,717,141,749,126,19.665271966527197,16.822429906542055,21391.19921875,^CRSLDX
2026-03-16,717,136,749,125,18.967921896792188,16.688918558077436,21498.80078125,^CRSLDX
2026-03-17,718,145,749,147,20.194986072423397,19.626168224299064,21669.30078125,^CRSLDX
2026-03-18,718,165,749,181,22.98050139275766,24.16555407209613,21917.400390625,^CRSLDX
2026-03-19,718,133,749,128,18.52367688022284,17.089452603471294,21225.80078125,^CRSLDX
2026-03-20,718,143,749,161,19.91643454038997,21.49532710280374,21327.900390625,^CRSLDX
2026-03-23,718,102,749,94,14.206128133704734,12.550066755674234,20664.25,^CRSLDX
2026-03-24,719,123,749,130,17.10709318497914,17.356475300400533,21067.0,^CRSLDX
2026-03-25,719,149,749,169,20.723226703755216,22.563417890520697,21478.19921875,^CRSLDX
2026-03-27,719,132,749,134,18.35883171070932,17.890520694259013,21020.150390625,^CRSLDX
2026-03-30,719,118,749,115,16.411682892906814,15.353805073431243,20528.05078125,^CRSLDX
2026-04-01,719,146,749,161,20.30598052851182,21.49532710280374,20935.150390625,^CRSLDX
2026-04-02,719,146,749,159,20.30598052851182,21.2283044058745,20938.349609375,^CRSLDX
2026-04-06,719,153,749,184,21.279554937413074,24.566088117489986,21194.05078125,^CRSLDX
2026-04-07,719,156,749,188,21.696801112656466,25.100133511348467,21296.44921875,^CRSLDX
2026-04-08,719,215,749,339,29.902642559109875,45.26034712950601,22137.099609375,^CRSLDX
2026-04-09,719,210,749,337,29.207232267037554,44.99332443257677,22037.5,^CRSLDX
2026-04-10,719,243,749,434,33.79694019471488,57.943925233644855,22346.75,^CRSLDX
2026-04-13,719,229,749,408,31.84979137691238,54.47263017356475,22179.05078125,^CRSLDX
2026-04-15,720,283,749,532,39.30555555555556,71.02803738317756,22595.55078125,^CRSLDX
2026-04-16,720,302,749,574,41.94444444444444,76.63551401869158,22656.30078125,^CRSLDX
2026-04-17,720,324,749,612,45.0,81.70894526034714,22869.400390625,^CRSLDX
2026-04-20,720,320,749,600,44.44444444444444,80.10680907877169,22865.80078125,^CRSLDX
2026-04-21,720,342,749,630,47.5,84.11214953271028,23042.349609375,^CRSLDX
2026-04-22,720,366,749,631,50.83333333333333,84.2456608811749,22991.5,^CRSLDX
2026-04-23,720,350,749,622,48.61111111111111,83.04405874499332,22810.849609375,^CRSLDX
2026-04-24,721,326,749,567,45.214979195561725,75.70093457943925,22570.05078125,^CRSLDX
2026-04-27,722,358,749,619,49.584487534626035,82.64352469959947,22821.400390625,^CRSLDX
2026-04-28,723,361,749,608,49.93084370677732,81.17489986648864,22765.599609375,^CRSLDX
2026-04-29,723,360,749,618,49.79253112033195,82.51001335113484,22871.0,^CRSLDX
2026-04-30,723,346,749,596,47.85615491009682,79.57276368491321,22683.55078125,^CRSLDX
2026-05-01,644,312,666,535,48.4472049689441,80.33033033033034,,^CRSLDX
2026-05-04,724,377,749,619,52.071823204419886,82.64352469959947,22830.75,^CRSLDX
2026-05-05,724,383,749,616,52.90055248618785,82.2429906542056,22808.25,^CRSLDX
2026-05-06,724,425,749,666,58.70165745856354,88.91855807743659,23133.400390625,^CRSLDX
2026-05-07,724,443,749,676,61.187845303867405,90.25367156208279,23214.0,^CRSLDX
2026-05-08,725,440,749,664,60.689655172413794,88.65153538050734,23115.650390625,^CRSLDX
2026-05-11,726,396,749,630,54.54545454545454,84.11214953271028,22795.75,^CRSLDX
2026-05-12,727,338,749,536,46.49243466299862,71.56208277703605,22299.900390625,^CRSLDX
2026-05-13,727,353,749,542,48.55570839064649,72.36315086782376,22377.349609375,^CRSLDX
2026-05-14,729,359,749,550,49.24554183813443,73.43124165554073,22613.099609375,^CRSLDX
2026-05-15,730,353,749,532,48.35616438356165,71.02803738317756,22531.150390625,^CRSLDX
2026-05-18,730,325,749,479,44.52054794520548,63.951935914552735,22461.05078125,^CRSLDX
2026-05-19,730,341,749,506,46.71232876712329,67.55674232309747,22521.75,^CRSLDX
2026-05-20,730,344,749,493,47.12328767123288,65.82109479305741,22578.150390625,^CRSLDX
2026-05-21,730,354,749,518,48.49315068493151,69.1588785046729,22602.849609375,^CRSLDX
2026-05-22,730,361,749,508,49.45205479452055,67.8237650200267,22651.30078125,^CRSLDX
2026-05-25,730,390,749,550,53.42465753424658,73.43124165554073,22929.44921875,^CRSLDX
2026-05-26,730,391,749,547,53.56164383561644,73.03070761014686,22897.19921875,^CRSLDX
2026-05-27,730,391,749,538,53.56164383561644,71.82910547396529,22967.400390625,^CRSLDX
2026-05-28,730,393,749,539,53.83561643835616,71.96261682242991,,^CRSLDX
2026-05-29,730,377,749,485,51.64383561643836,64.75300400534046,22657.0,^CRSLDX
2026-06-01,730,362,749,427,49.589041095890416,57.009345794392516,22437.94921875,^CRSLDX
2026-06-02,730,360,749,441,49.31506849315068,58.87850467289719,22521.099609375,^CRSLDX
2026-06-03,730,354,749,417,48.49315068493151,55.67423230974633,22451.849609375,^CRSLDX
2026-06-04,731,366,749,416,50.06839945280438,55.54072096128171,22497.69921875,^CRSLDX
2026-06-05,732,364,749,407,49.72677595628415,54.33911882510013,22465.349609375,^CRSLDX
2026-06-08,733,339,749,325,46.24829467939973,43.39118825100133,22173.69921875,^CRSLDX
2026-06-09,733,363,749,375,49.5225102319236,50.06675567423231,22370.150390625,^CRSLDX
2026-06-10,735,335,749,329,45.57823129251701,43.925233644859816,22233.849609375,^CRSLDX
2026-06-11,735,318,749,292,43.26530612244898,38.98531375166889,22114.44921875,^CRSLDX
2026-06-12,736,378,749,383,51.358695652173914,51.134846461949266,22599.80078125,^CRSLDX
2026-06-15,736,419,749,453,56.92934782608695,60.48064085447263,22891.30078125,^CRSLDX
2026-06-16,738,431,749,468,58.40108401084011,62.483311081441926,22997.25,^CRSLDX
2026-06-17,739,445,749,480,60.216508795669824,64.08544726301736,23109.69921875,^CRSLDX
2026-06-18,740,462,749,495,62.43243243243243,66.08811748998666,23206.44921875,^CRSLDX
2026-06-19,741,458,749,495,61.80836707152496,66.08811748998666,23144.19921875,^CRSLDX
2026-06-22,741,480,749,519,64.77732793522267,69.29238985313752,23261.849609375,^CRSLDX
2026-06-23,741,451,749,475,60.86369770580296,63.417890520694264,23010.94921875,^CRSLDX
2026-06-24,741,462,749,476,62.34817813765182,63.55140186915887,23126.30078125,^CRSLDX
2026-06-25,741,447,749,455,60.32388663967612,60.747663551401864,23113.69921875,^CRSLDX
2026-06-26,742,448,749,457,60.37735849056604,61.01468624833111,,^CRSLDX
2026-06-29,742,427,749,423,57.54716981132076,56.475300400534046,23000.0,^CRSLDX
2026-06-30,742,442,749,438,59.56873315363881,58.47797062750334,22995.650390625,^CRSLDX
2026-07-01,742,452,749,451,60.91644204851752,60.213618157543394,23111.650390625,^CRSLDX
2026-07-02,742,480,749,485,64.6900269541779,64.75300400534046,23264.80078125,^CRSLDX
2026-07-03,742,484,749,495,65.22911051212938,66.08811748998666,23301.150390625,^CRSLDX
2026-07-06,743,479,749,483,64.46837146702558,64.48598130841121,23433.94921875,^CRSLDX
2026-07-07,743,479,749,462,64.46837146702558,61.6822429906542,23368.849609375,^CRSLDX
2026-07-08,745,422,749,383,56.644295302013425,51.134846461949266,22908.05078125,^CRSLDX
2026-07-09,745,455,749,431,61.07382550335571,57.543391188251,23081.150390625,^CRSLDX
2026-07-10,745,488,749,486,65.50335570469798,64.88651535380508,23348.400390625,^CRSLDX
2026-07-13,747,499,749,488,66.80053547523427,65.15353805073431,23347.05078125,^CRSLDX
2026-07-14,747,483,749,458,64.65863453815261,61.148197596795725,23199.44921875,^CRSLDX
2026-07-15,748,486,749,476,64.97326203208557,63.55140186915887,23263.900390625,^CRSLDX
2026-07-16,748,482,749,480,64.43850267379679,64.08544726301736,23232.650390625,^CRSLDX
2026-07-17,749,477,749,464,63.684913217623496,61.94926568758344,23336.30078125,^CRSLDX
2026-07-20,749,477,749,478,63.684913217623496,63.81842456608812,23338.05078125,^CRSLDX
2026-07-21,749,482,749,472,64.35246995994659,63.0173564753004,23352.150390625,^CRSLDX
2026-07-22,749,452,749,437,60.34712950600801,58.344459279038716,23145.05078125,^CRSLDX
2026-07-23,749,435,749,392,58.07743658210948,52.336448598130836,22982.400390625,^CRSLDX
2026-07-24,749,435,749,396,58.07743658210948,52.87049399198932,22913.30078125,^CRSLDX
2026-07-27,749,463,749,437,61.815754339118826,58.344459279038716,23153.099609375,^CRSLDX
2026-07-28,749,451,749,413,60.213618157543394,55.140186915887845,23114.900390625,^CRSLDX
2026-07-29,749,474,749,443,63.28437917222964,59.14552736982643,23352.599609375,^CRSLDX
2026-07-30,749,474,749,413,63.28437917222964,55.140186915887845,23353.55078125,^CRSLDX
2026-07-31,749,475,749,425,63.417890520694264,56.742323097463284,23460.69921875,^CRSLDX
2026-08-03,749,514,749,482,68.62483311081442,64.35246995994659,23802.849609375,^CRSLDX
2026-08-04,749,505,749,463,67.42323097463284,61.815754339118826,23690.150390625,^CRSLDX
2026-08-05,749,519,749,483,69.29238985313752,64.48598130841121,23735.55078125,^CRSLDX
2026-08-06,749,528,749,479,70.4939919893191,63.951935914552735,23729.44921875,^CRSLDX
2026-08-07,749,520,749,468,69.42590120160213,62.483311081441926,23712.099609375,^CRSLDX
2026-08-10,749,512,749,452,68.35781041388518,60.34712950600801,23743.19921875,^CRSLDX
2026-08-11,749,505,749,429,67.42323097463284,57.27636849132176,23681.150390625,^CRSLDX
2026-08-12,749,493,749,417,65.82109479305741,55.67423230974633,23672.44921875,^CRSLDX
2026-08-13,749,497,749,419,66.35514018691589,55.941255006675576,23658.099609375,^CRSLDX
2026-08-14,749,491,749,408,65.55407209612817,54.47263017356475,23594.900390625,^CRSLDX
2026-08-17,749,488,749,401,65.15353805073431,53.538050734312414,23564.44921875,^CRSLDX
2026-08-18,749,473,749,397,63.150867823765026,53.00400534045394,23472.400390625,^CRSLDX
2026-08-19,749,461,749,373,61.548731642189594,49.799732977303066,23386.19921875,^CRSLDX
2026-08-20,749,473,749,383,63.150867823765026,51.134846461949266,23512.94921875,^CRSLDX
2026-08-21,749,473,749,382,63.150867823765026,51.00133511348465,23530.30078125,^CRSLDX
2026-08-24,749,472,749,370,63.0173564753004,49.39919893190921,23511.75,^CRSLDX
2026-08-25,749,477,749,379,63.684913217623496,50.60080106809078,23611.599609375,^CRSLDX
2026-08-26,749,484,749,375,64.61949265687583,50.06675567423231,23559.19921875,^CRSLDX
