Symbol,Date,Close,R3M,R6M,R9M,R12M,RS_Blend,MA_30W,MA_30W_Slope_10S_Pct,Stage,MA_10W,High_52W,Near_52W_High,Low_52W,Volume_Ratio,U_D,AvgValue20,SMA_50,Below_50DMA,Ext_Pct,Extended_20Pct,Pct_From_52W_High,Above_MA_30W,Above_MA_10W,MA10W_Above_MA30W,MA_30W_Rising,Distribution,Heavy_Distribution,Breakout,Breakout_Confirmed,SMA_150,SMA_200,SMA_200_Rising,ATR_Pct,VCP_Contractions,Contraction_Ratio,Base_Depth_Pct,Volume_DryUp,VCP_Setup,VCP_Pivot,RS_Line,RS_Line_High_52W,RS_Line_At_High,Pct_To_Pivot,RS_Score,Liquid_UI_Filter,RS_Not_Lagging,Trend_Health,TT1_Above_150_200,TT2_150_Above_200,TT3_200_Rising,TT4_50_Above_150_200,TT5_Above_50,TT6_Above_52W_Low,TT7_Near_52W_High,TT8_RS,Trend_Template_Score,Trend_Template_Pass,RS_Line_NH_Before_Price,Stage1_Readiness,Company Name,Industry,Series,ISIN Code,Action,Action_Reason
AXISCADES,2026-08-25,1604.0999755859375,-0.21559903394330682,0.07197270075830597,0.1330790640051307,0.25673765661537584,0.006118270698439766,1648.5253496561966,1.2595265642250553,Stage 1 — Basing,1627.811772365196,2211.0,False,1063.300048828125,0.6478121404141617,0.952757812871464,237038179.21931762,1623.8620068359376,True,-2.694855379659411,False,-27.44911915034204,False,False,False,True,False,False,False,False,1634.9040063476561,1570.612505493164,True,4.032079118027166,3,0.6969632697230248,28.83919720673681,0.7534131679675613,False,1990.0,0.06793694633670769,0.09403153538512572,False,24.057105559963787,43.0,True,False,1,False,True,True,False,False,True,False,False,3,False,False,3.0,AXISCADES Technologies Ltd.,Capital Goods,EQ,INE555B01013,AVOID,Stage 1 + RS 43; weak RS in a basing stage is AVOID.
AADHARHFC,2026-08-25,475.0,0.003697834125726329,0.0388190267905959,-0.024740761923786048,-0.08168197196713389,-0.012041607769774275,485.22499941473137,0.12163430813740828,Stage 1 — Basing,506.20980236577054,563.0,False,430.1499938964844,1.0589268497234379,0.868753212700838,193521904.07930452,506.6339984130859,True,-2.10726970520162,False,-15.630550621669625,False,False,True,True,False,False,False,False,484.81433247884115,485.2354997253418,False,2.7015041265272552,3,0.888671983636463,18.41918511670182,0.999476806157902,False,563.0,0.020117230846630186,0.02384431524932254,False,18.526315789473678,39.0,True,False,2,False,False,False,True,False,False,True,False,2,False,False,1.0,Aadhar Housing Finance Ltd.,Financial Services,EQ,INE883F01010,AVOID,Stage 1 + RS 39; weak RS in a basing stage is AVOID.
AARTIDRUGS,2026-08-25,422.20001220703125,0.07035111963803198,0.1420070280403456,-0.008720400133129358,-0.11735089599604032,0.03132759423744798,380.02693301684235,0.7107667666299333,Stage 2 — Advancing,402.0225500966988,531.6963704720772,False,318.95001220703125,0.5506994595934277,2.011000600622416,98377097.6083847,402.63700134277343,False,11.09739219149497,False,-20.59377576112236,True,True,True,True,False,False,False,False,379.8076690673828,388.2058250427246,False,3.231372470055776,2,1.5031304603268805,19.14471669172631,0.82695924447049,False,453.6499938964844,0.017881042334776696,0.022248616235203425,False,7.4490717148608665,49.0,True,False,4,True,False,False,True,True,True,True,False,5,False,False,,Aarti Drugs Ltd.,Healthcare,EQ,INE767A01016,WAIT,Stage 2 + RS 49; wait because relative strength is below 50 — the trend has turned up but the stock still lags most of the universe.
AARTIIND,2026-08-25,538.9000244140625,0.11665979610135091,0.1808918970230533,0.419091571860599,0.3869515927026739,0.2440509307578056,463.4349329700209,2.553010262241373,Stage 2 — Advancing,493.21372776405485,551.75,True,338.04998779296875,0.9911465699319804,3.2085435652985392,988536131.08983,493.1440020751953,False,16.28385908684258,False,-2.3289489054712287,True,True,True,True,False,False,False,False,460.31000142415365,438.64750091552736,True,3.2877820835168254,3,1.0034227930776964,17.62573629361124,1.3414300675980029,False,551.75,0.02282352883029966,0.02310121638814901,False,2.38448227941892,78.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,Aarti Industries Ltd.,Chemicals,EQ,INE769A01020,HOLD,Stage 2 + RS 78; trend/leadership is adequate without a stronger entry trigger.
AARTIPHARM,2026-08-26,836.6500244140625,0.20450626809811956,0.16249827737030675,0.18012992068973288,0.02692498324876813,0.15571314350100937,706.7706378257438,0.7458950179033863,Stage 2 — Advancing,731.0460803462009,944.0989338759356,False,585.0,0.6413501174356878,7.89289557091468,1168975854.623874,732.7030017089844,False,18.37645477008918,False,-11.381106958859565,True,True,True,True,False,False,False,False,708.4748612467448,715.1094223022461,False,5.838335519213544,2,0.7715373155273727,30.74200714960839,0.7248495609679271,False,932.5999755859375,0.035512668178814835,0.040382449670908586,False,11.468349772543473,70.0,True,True,5,True,False,False,True,True,True,True,True,6,False,False,,Aarti Pharmalabs Ltd.,Healthcare,EQ,INE0LRU01027,HOLD,Stage 2 + RS 70; trend/leadership is adequate without a stronger entry trigger.
AAVAS,2026-08-25,1313.199951171875,-0.04494549005681814,0.021230209378253928,-0.18873170396949113,-0.19529387123859965,-0.09053726918869463,1350.7684978328339,-0.24618329921983761,Stage 4 — Declining,1437.3725609872856,1771.9000244140625,False,1060.4000244140625,0.8974827971901427,0.4718394830106301,102274949.05426025,1438.2500122070312,True,-2.7812720478182396,False,-25.887469209436453,False,False,True,False,True,True,False,False,1352.8486710611978,1396.999501953125,False,2.734326498764251,2,0.7858249317437683,15.198397638525387,0.5249653882381844,False,1544.9000244140625,0.05561672961159599,0.07290896978560894,False,17.643929474366992,23.0,True,False,1,False,False,False,True,False,False,False,False,1,False,False,,Aavas Financiers Ltd.,Financial Services,EQ,INE216P01012,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
ABBOTINDIA,2026-08-25,26415.0,-0.02425137001457145,0.023593894983175323,-0.10501191422183798,-0.14235038765667607,-0.05445422938489633,26206.11742829623,-0.05912350112013964,Stage 3 — Topping,26666.094324448528,32025.594940162126,False,24574.941813474234,0.9622140032622769,0.48920046683400215,254121311.0,26689.351796875,True,0.7970756151700176,False,-17.51909668078042,True,False,True,False,True,True,False,False,26225.74233072917,26690.680498046873,False,1.9685784592087827,2,2.0337644996368627,14.008038473109002,1.2020179337770716,False,28635.0,1.1187297953973396,1.3972645042803573,False,8.404315729699041,31.0,True,False,2,False,False,False,False,False,False,True,False,1,False,False,,Abbott India Ltd.,Healthcare,EQ,INE358A01014,SELL,Stage 3 + RS 31; RS below 50 in Stage 3 triggers SELL.
ACE,2026-08-25,1154.800048828125,0.3041956439186493,0.32552804482020514,0.1913752846087695,0.06876450608803797,0.23881182467086223,935.3517142517926,2.231974745134835,Stage 2 — Advancing,1044.3029438093597,1196.0,False,745.0999755859375,0.2959582289571263,1.6667583243274353,471569321.5733215,1046.5790026855468,False,23.461584688693684,True,-3.4448119708925584,True,True,True,True,False,False,False,False,931.7186686197916,936.0540023803711,True,3.3846309200421967,2,1.0037678668387873,22.144646788121864,0.8143230720389355,False,1196.0,0.048908166661000424,0.0505084190946617,False,3.567712974526116,78.0,True,True,5,True,False,True,True,True,True,True,True,7,False,False,,Action Construction Equipment Ltd.,Capital Goods,EQ,INE731H01025,HOLD,Stage 2 + RS 78; trend/leadership is adequate without a stronger entry trigger.
ACUTAAS,2026-08-26,3257.800048828125,0.07348095308160763,0.4909157032771445,0.8151325831282619,1.3069589724865045,0.5519938330110252,2780.274654858733,3.7180242584352152,Stage 2 — Advancing,3351.4666628370096,3740.0,False,1302.0,0.3855917727021991,0.8267682367674557,972601994.770166,3358.497998046875,True,17.175475564433242,False,-12.89304682277741,True,False,True,True,False,False,False,False,2750.3226643880207,2490.079498901367,True,3.8137050519516906,2,0.54539063761122,19.6524064171123,0.7229967401385842,True,3740.0,0.13828144236054288,0.15868608046725632,False,14.801397996949772,94.0,True,True,4,True,True,True,True,False,True,True,True,7,False,False,,Acutaas Chemicals Ltd.,Healthcare,EQ,INE00FF01025,WAIT,Stage 2 + RS 94; wait because the close is below its 50-session average — short-term timing has weakened even though the 30-week trend is intact.
ADANIENSOL,2026-08-26,1570.5,0.07325903614759355,0.533766278897668,0.5844430797605467,0.9913776090564668,0.45122100800197373,1336.7554818767392,3.399083889776988,Stage 2 — Advancing,1607.9392233455883,1789.0,False,744.9000244140625,1.5852573845633195,0.7653813012591789,3449365306.924646,1610.2780078125,True,17.48595919689777,False,-12.213527110117383,True,False,True,True,False,False,False,False,1324.3480021158855,1240.394250793457,True,3.068631797162812,2,1.2392862874994959,18.11067635550587,1.2785524810711524,False,1789.0,0.06666185830077323,0.07457985437971158,False,13.912766634829676,91.0,True,True,4,True,True,True,True,False,True,True,True,7,False,False,,Adani Energy Solutions Ltd.,Power,EQ,INE931S01010,WAIT,Stage 2 + RS 91; wait because the close is below its 50-session average — short-term timing has weakened even though the 30-week trend is intact.
